0,Gordon Coleman,starter golf course,2016-10-12,1968-12-19,(751)-130-1433,UK3452
1,Warren Murray,attendant J-bar,2017-11-02,1998-10-29,(322)-353-9454,FR1001
2,Amy McGrath,operator T-bar,2010-02-07,1985-05-26,(166)-290-7382,FR1001
3,Jennifer Bailey,attendant T-bar,2014-11-21,1985-04-25,(223)-717-8396,UK2622
4,Sebastian Ferguson,recreational facility attendant,2017-06-23,1998-12-24,(563)-592-4168,SV2333
5,Peter Morgan,T-bar operator,2013-12-12,1968-10-26,(131)-108-6656,UK3452
6,Stephanie Arnold,custodian sports equipment,2013-06-07,1982-02-23,(177)-172-5824,ZA1342
7,Sue Howard,game concession operator,2013-07-10,1992-05-30,(327)-325-1751,NL1202
8,Paul Brown,J-bar operator,2017-06-09,1987-11-14,(324)-315-4821,FR1001
10,Christian May,trailer campsite attendant,2014-02-01,1988-06-28,(222)-573-2741,SP4533
12,Samantha Vance,attendant snowmaking facility,2011-01-05,1974-05-20,(713)-673-7091,SV2333
13,Lisa Taylor,park receptionist,2012-10-18,1979-09-16,(542)-707-6247,SV2333
14,Grace Cornish,recreational camp attendant,2016-05-05,1996-04-16,(107)-629-7372,UK3452
15,Jack Henderson,ice patroller arena,2015-07-28,1994-01-01,(357)-715-1665,FR1001
16,Simon Skinner,shooting gallery operator,2013-10-10,1995-04-16,(465)-437-9538,ZA1342
17,Michelle Parsons,pool parlour attendant,2013-03-16,1968-02-02,(467)-683-1670,NL1202
18,Wanda Forsyth,attendant amusement park,2015-06-25,1989-08-25,(471)-124-1931,UK3452
21,Felicity Fraser,attendant athletic equipment,2013-08-15,2000-04-08,(754)-316-6701,ZA1342
22,Max Bond,attendant recreation,2011-05-21,1980-10-03,(565)-581-2812,ZA1342
23,Sam Clarkson,carousel operator,2016-04-01,1995-03-10,(473)-215-3505,UK3452
24,Eric Taylor,operator J-bar,2015-01-02,1986-02-09,(626)-665-5246,NL1202
26,Simon Taylor,attendant ski tow,2013-04-22,1987-02-15,(461)-685-4119,SP4533
27,Christopher Nash,custodian sports equipment,2015-10-05,1980-07-15,(164)-393-1837,NL1202
29,Julian Campbell,technical assistant - sports and leisure,2014-11-04,1983-02-28,(304)-487-1928,UK3452
31,Joanne Bond,amusement attraction operator,2014-05-09,1983-02-08,(520)-410-7021,NL1202
32,Ava Lambert,zamboni driver,2013-07-11,1990-11-14,(721)-549-2859,FR1001
34,Dominic Quinn,J-bar operator,2014-02-26,1972-09-29,(732)-234-7001,UK3452
35,Rachel Arnold,T-bar attendant,2013-08-11,1985-03-16,(620)-348-5963,NL1202
36,Una Blake,trailer park attendant,2013-04-17,1976-12-13,(117)-561-1821,UK2622
37,Michelle McLean,leisure and sports attendant,2013-10-04,1965-04-13,(510)-460-8779,NL1202
38,Blake Rees,boat rental attendant,2015-08-26,1968-06-28,(453)-169-1405,FR1001
39,Warren Walker,attendant leisure facility,2010-11-18,1978-11-23,(454)-517-3429,SV2333
40,Joseph Hemmings,fun house operator,2016-10-06,1985-04-04,(205)-286-1720,UK2622
41,Harry Mills,pool parlour attendant,2010-07-16,1978-11-30,(267)-434-7291,UK3452
42,Dylan Thomson,attendant ski tow,2017-09-16,1969-08-08,(477)-154-2528,ZA1342
43,Trevor Parsons,ski tow operator,2015-04-27,1971-06-22,(155)-496-4141,UK2622
44,Ella Wilkins,T-bar operator,2013-07-18,1971-02-11,(574)-377-6733,SP4533
47,Carl Lee,sports centre attendant,2013-03-22,1999-02-17,(500)-634-1158,NL1202
48,Samantha Fraser,floorwoman bingo,2017-03-25,1969-06-12,(476)-380-9045,SV2333
49,Adam Thomson,second boxing,2014-10-15,1988-10-04,(602)-583-4937,NL1202
51,Kylie Lawrence,game concession operator,2016-09-12,1991-03-24,(750)-672-9956,NL1202
54,Jasmine Dickens,operator ski lift,2011-11-12,1974-06-18,(155)-155-4312,FR1001
55,Liam Nash,rink attendant,2013-09-27,1972-02-05,(464)-587-2801,UK2622
57,Alan Lyman,operator rope tow,2012-10-27,1966-10-17,(362)-265-9007,FR1001
58,Connor Ross,technical assistant - sports and leisure,2014-09-01,1970-11-17,(660)-694-5255,NL1202
59,Carl Rampling,ice maker rink,2016-02-11,1966-05-18,(673)-508-1834,FR1001
60,Jason Metcalfe,billiard parlour attendant,2016-09-19,1984-04-20,(623)-153-7854,FR1001
62,Amelia Greene,recreational camp attendant,2012-08-01,1978-06-06,(202)-318-5224,UK3452
64,Adrian Burgess,leisure attendant,2015-03-25,1979-05-29,(765)-655-7889,SV2333
66,Dan Wright,attendant leisure and sports,2013-09-01,1989-06-01,(301)-655-5629,ZA1342
67,Peter Rees,billiards ballracker,2011-09-06,1984-05-11,(223)-128-3006,FR1001
70,Julian Scott,recreational camp attendant,2010-02-05,1976-02-10,(472)-456-8595,SP4533
71,Isaac Blake,driving range attendant,2011-06-12,1970-06-28,(260)-516-2479,SV2333
72,Gordon Paterson,bicycle rental attendant,2016-12-03,1998-09-16,(320)-360-6558,ZA1342
74,Deirdre Langdon,shooting gallery operator,2017-07-19,1999-08-24,(254)-371-1052,UK2622
75,Caroline Paige,leisure attendant,2014-12-22,1998-04-22,(362)-486-8439,NL1202
76,Donna Martin,ranger golf course,2014-02-11,1992-07-08,(126)-159-9565,NL1202
77,Sally Anderson,operator ski tow,2017-05-21,1985-11-23,(655)-386-8217,ZA1342
78,Jessica Clarkson,bowling alley attendant,2013-12-14,1981-09-09,(760)-579-6160,ZA1342
79,Alison Lambert,attendant go-kart ride,2016-08-04,1986-12-07,(467)-303-4283,UK2622
81,Christian May,attendant recreation,2016-07-17,1976-04-23,(447)-217-2348,ZA1342
82,Michael Rutherford,custodian sports equipment,2011-07-11,1971-02-03,(112)-407-7639,SV2333
83,Victor Short,golf range attendant,2014-09-23,1984-07-13,(526)-692-5648,NL1202
87,Wendy Morrison,mini-golf attendant,2013-05-26,1972-09-16,(535)-605-3913,UK2622
92,Ava Lambert,operator gondola,2013-02-19,1991-10-15,(352)-587-3302,SP4533
93,Cameron Short,operator snowmaking machine,2015-10-25,1984-01-20,(537)-265-8273,UK2622
95,Michael Ross,attendant recreational camp,2017-08-23,1997-06-15,(267)-173-1585,FR1001
96,Anthony Jackson,floorwoman bingo,2011-06-01,1994-07-15,(403)-112-7821,FR1001
98,Peter Kelly,second boxing,2012-02-28,1995-12-04,(273)-691-6370,ZA1342
99,Dorothy Morgan,ride attendant,2014-04-24,1979-06-19,(472)-210-3767,SP4533
101,Jason Hunter,checker attendance,2012-11-16,1973-07-20,(523)-315-7974,ZA1342
102,Benjamin Paterson,amusement park attendant,2010-04-30,1981-05-11,(435)-344-7429,ZA1342
103,Adam Roberts,bingo floorwoman,2011-07-22,1998-03-28,(135)-115-3893,FR1001
105,Abigail McLean,bingo floorman,2012-01-03,1982-03-24,(776)-599-9010,SP4533
106,Rose Terry,trailer park attendant,2011-10-27,1992-07-06,(302)-515-5595,ZA1342
108,Dylan Bond,custodian athletic equipment,2011-05-01,1971-07-04,(413)-517-8135,SV2333
110,Carl Johnston,trailer park attendant,2010-03-25,1989-03-13,(346)-328-2931,UK3452
111,Julia Berry,operator J-bar,2017-01-07,1995-05-10,(661)-309-1957,FR1001
112,Peter Berry,golf course starter,2010-04-14,1997-12-23,(653)-399-2951,UK2622
113,Carl Pullman,leisure attendant,2017-09-12,1985-03-28,(356)-637-2145,NL1202
114,Angela Rees,receptionist park,2017-08-26,1985-12-17,(717)-354-2328,SV2333
115,Dan Mitchell,bingo floorman/woman,2014-02-12,1972-09-07,(416)-366-3025,FR1001
118,Joseph Manning,operator amusement concession,2011-11-19,1988-05-25,(270)-405-5201,SP4533
119,Madeleine Hunter,attendant T-bar,2012-07-13,1972-06-26,(517)-185-9146,ZA1342
120,Sebastian Alsop,attendant sport,2011-07-05,1996-08-15,(715)-373-2993,NL1202
122,Ella Gill,attendant recreational camp,2017-10-01,1996-02-10,(417)-464-7650,SV2333
123,Alison Baker,attendant drive-in theatre,2013-02-09,1971-12-31,(531)-639-7159,SP4533
124,Jonathan Mathis,artificial ice maker - rink,2014-04-28,1990-08-04,(150)-525-6885,SV2333
126,Lucas Newman,ranger golf course,2012-11-19,1988-02-10,(642)-390-5209,SP4533
127,Sean Davies,bowling alley attendant,2011-01-22,1974-10-16,(343)-515-9917,FR1001
128,Gavin Oliver,attendant ice rink,2013-04-01,1997-03-09,(504)-182-3774,UK3452
130,Diane Campbell,operator amusement attraction,2017-04-11,1979-02-21,(427)-502-4474,UK2622
132,Warren Roberts,attendant sports and leisure,2016-03-13,1982-06-30,(710)-565-7679,UK2622
133,Leah Duncan,jockey helper,2011-05-13,1972-11-15,(125)-591-6117,NL1202
135,Brian Hughes,drive-in theatre attendant,2017-05-09,1979-01-26,(570)-546-4337,UK3452
137,Faith Watson,attendant park,2015-04-18,1982-08-30,(731)-537-4828,ZA1342
138,Virginia Carr,ice rink attendant,2014-03-19,1982-06-13,(306)-207-7742,UK3452
139,Yvonne Walsh,operator snowmaking machine,2014-10-01,1979-06-13,(403)-198-1715,UK3452
140,Elizabeth Kelly,game booth operator,2017-05-04,1990-05-06,(153)-276-8662,SV2333
141,Austin Blake,mini-golf attendant,2011-05-28,1972-09-12,(671)-594-2388,ZA1342
143,Lillian Graham,snowmaker,2017-08-12,1983-11-01,(324)-687-6732,SV2333
144,Jonathan Morrison,attendant sports and recreation,2011-12-20,1989-03-04,(662)-176-3427,NL1202
146,Stephen Powell,golf range attendant,2012-09-07,1967-09-27,(146)-197-7895,SP4533
150,Nicholas Mathis,ranger golf course,2016-10-26,1998-01-18,(634)-393-8142,SP4533
152,Karen Welch,attendant go-kart ride,2010-03-24,1989-01-17,(752)-408-4338,NL1202
153,Christian Allan,golf range attendant,2013-04-14,1984-02-01,(144)-720-9144,ZA1342
154,Faith Ross,bungee jump attendant,2012-05-27,1971-04-19,(270)-192-3349,NL1202
155,Benjamin Clarkson,boxing second,2016-10-21,1971-01-30,(672)-494-6667,NL1202
157,Emma Greene,receptionist park,2017-04-29,1998-09-13,(631)-740-2363,UK2622
158,Amy Fraser,sports centre attendant,2017-08-29,1988-03-15,(316)-259-5163,UK3452
159,Oliver Dickens,attendant rope tow,2013-01-26,1993-02-03,(123)-281-8671,UK3452
161,Deirdre Coleman,attendant sports equipment,2014-11-26,1973-12-13,(446)-376-9483,ZA1342
163,Gavin Dyer,billiard parlour attendant,2017-10-30,1969-12-11,(635)-525-4948,ZA1342
164,Bernadette Slater,attendant golf range,2014-01-18,1978-02-13,(111)-554-1498,UK2622
166,Sebastian Johnston,floorman/woman bingo,2016-01-26,1994-12-02,(412)-233-3016,UK3452
167,Anna Baker,fun house operator,2016-02-27,1988-08-18,(733)-640-2868,UK2622
168,Luke Cameron,attendant go-kart track,2011-06-03,1982-06-06,(261)-167-7225,UK3452
170,Steven Rutherford,clubhouse attendant,2012-09-02,1976-08-05,(641)-222-1342,SP4533
171,Ruth Morrison,attendant bingo hall,2014-08-15,1997-12-09,(605)-445-5504,ZA1342
172,Yvonne Grant,bingo floorman,2012-05-25,1990-04-18,(473)-535-9609,UK2622
174,Victoria Nolan,game booth operator,2016-01-23,1975-10-21,(342)-617-5478,UK2622
178,Christian Buckland,clubhouse attendant,2014-09-18,1990-07-17,(454)-534-9223,SP4533
179,Nicola Johnston,sports equipment custodian,2011-12-29,1970-10-07,(730)-602-8175,UK2622
182,Rachel Short,athletic equipment custodian,2013-11-22,1979-05-03,(133)-289-5755,NL1202
186,Alan Gill,shooting gallery operator,2011-02-16,1970-09-21,(144)-551-7802,ZA1342
188,Joan Walsh,operator ferris wheel,2017-07-15,1978-07-12,(607)-391-8442,ZA1342
